word_id	text_id	sentence_id	word_form	word_gloss	sent_audio_start	sent_audio_end	sent_form	sent_translation
1	1	ORIGTAMs1	⁴unma	NA	0.0000	5.7573	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri	autrefois, dans les temps anciens, là-haut, au Tibet
2	1	ORIGTAMs1	⁴taŋpo	NA	0.0000	5.7573	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri	autrefois, dans les temps anciens, là-haut, au Tibet
3	1	ORIGTAMs1	⁴tui-ri	NA	0.0000	5.7573	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri	autrefois, dans les temps anciens, là-haut, au Tibet
4	1	ORIGTAMs1	¹tor-se	NA	0.0000	5.7573	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri	autrefois, dans les temps anciens, là-haut, au Tibet
5	1	ORIGTAMs1	³poi-ri	NA	0.0000	5.7573	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri	autrefois, dans les temps anciens, là-haut, au Tibet
6	1	ORIGTAMs2	⁴unma	NA	5.7573	11.0001	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri-mi	autrefois, dans les temps anciens, là-haut, au Tibet donc
7	1	ORIGTAMs2	⁴taŋpo	NA	5.7573	11.0001	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri-mi	autrefois, dans les temps anciens, là-haut, au Tibet donc
8	1	ORIGTAMs2	⁴tui-ri	NA	5.7573	11.0001	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri-mi	autrefois, dans les temps anciens, là-haut, au Tibet donc
9	1	ORIGTAMs2	¹tor-se	NA	5.7573	11.0001	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri-mi	autrefois, dans les temps anciens, là-haut, au Tibet donc
10	1	ORIGTAMs2	³poi-ri-mi	NA	5.7573	11.0001	⁴unma ⁴taŋpo ⁴tui-ri, ¹tor-se ³poi-ri-mi	autrefois, dans les temps anciens, là-haut, au Tibet donc
11	1	ORIGTAMs3	chetri	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
12	1	ORIGTAMs3	⁴kik	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
13	1	ORIGTAMs3	⁴pa:man	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
14	1	ORIGTAMs3	⁴kik	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
15	1	ORIGTAMs3	¹tamaŋ	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
16	1	ORIGTAMs3	⁴kik	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
17	1	ORIGTAMs3	²som-cim-ro	NA	11.0001	18.3013	chetri ⁴kik, ⁴pa:man ⁴kik, ¹tamaŋ ⁴kik, ²som-cim-ro	il y avait un chetri, un brahmane et un tamang ; ils étaient trois
18	1	ORIGTAMs4	²som-naŋ-ri	NA	18.3013	22.1610	²som-naŋ-ri	parmi ces trois
19	1	ORIGTAMs5	¹ama-mi	NA	22.1610	32.0675	¹ama-mi ³palaŋ, ¹apa-m ¹hanuman-cim-ro	la mère était une vache, le père un singe
20	1	ORIGTAMs5	³palaŋ	NA	22.1610	32.0675	¹ama-mi ³palaŋ, ¹apa-m ¹hanuman-cim-ro	la mère était une vache, le père un singe
21	1	ORIGTAMs5	¹apa-m	NA	22.1610	32.0675	¹ama-mi ³palaŋ, ¹apa-m ¹hanuman-cim-ro	la mère était une vache, le père un singe
22	1	ORIGTAMs5	¹hanuman-cim-ro	NA	22.1610	32.0675	¹ama-mi ³palaŋ, ¹apa-m ¹hanuman-cim-ro	la mère était une vache, le père un singe
23	1	ORIGTAMs6	¹am'-se	NA	32.0675	36.8599	¹am'-se ¹tik ³pi-cim-ro	la mère leur dit:
24	1	ORIGTAMs6	¹tik	NA	32.0675	36.8599	¹am'-se ¹tik ³pi-cim-ro	la mère leur dit:
25	1	ORIGTAMs6	³pi-cim-ro	NA	32.0675	36.8599	¹am'-se ¹tik ³pi-cim-ro	la mère leur dit:
26	1	ORIGTAMs7	¹thetmai	NA	36.8599	41.4915	¹thetmai ²som ³ca-ta, 	aux trois frères ses fils,
27	1	ORIGTAMs7	²som	NA	36.8599	41.4915	¹thetmai ²som ³ca-ta, 	aux trois frères ses fils,
28	1	ORIGTAMs7	³ca-ta	NA	36.8599	41.4915	¹thetmai ²som ³ca-ta, 	aux trois frères ses fils,
29	1	ORIGTAMs8	⁴camam	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
30	1	ORIGTAMs8	¹ŋa	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
31	1	ORIGTAMs8	¹si-ma	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
32	1	ORIGTAMs8	¹ŋa	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
33	1	ORIGTAMs8	¹si-ma	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
34	1	ORIGTAMs8	bel'-ri	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
35	1	ORIGTAMs8	¹ŋa	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
36	1	ORIGTAMs8	¹si-ma	NA	41.4915	51.5267	⁴camam ¹ŋa ¹si-ma, ¹ŋa ¹si-ma bel'-ri, ¹ŋa ¹si-ma	alors, quand je mourrai, à l'heure de ma mort
37	1	ORIGTAMs9	¹ŋa-la	NA	51.5267	57.9595	¹ŋa-la ¹sja, ²ai-ni-se, ³a-²khraŋ-na, ³a-⁴pjaŋ-na	ma chair, vous autres, ne l'incinérer pas, ne la jetez pas
38	1	ORIGTAMs9	¹sja	NA	51.5267	57.9595	¹ŋa-la ¹sja, ²ai-ni-se, ³a-²khraŋ-na, ³a-⁴pjaŋ-na	ma chair, vous autres, ne l'incinérer pas, ne la jetez pas
39	1	ORIGTAMs9	²ai-ni-se	NA	51.5267	57.9595	¹ŋa-la ¹sja, ²ai-ni-se, ³a-²khraŋ-na, ³a-⁴pjaŋ-na	ma chair, vous autres, ne l'incinérer pas, ne la jetez pas
40	1	ORIGTAMs9	³a-²khraŋ-na	NA	51.5267	57.9595	¹ŋa-la ¹sja, ²ai-ni-se, ³a-²khraŋ-na, ³a-⁴pjaŋ-na	ma chair, vous autres, ne l'incinérer pas, ne la jetez pas
41	1	ORIGTAMs9	³a-⁴pjaŋ-na	NA	51.5267	57.9595	¹ŋa-la ¹sja, ²ai-ni-se, ³a-²khraŋ-na, ³a-⁴pjaŋ-na	ma chair, vous autres, ne l'incinérer pas, ne la jetez pas
42	1	ORIGTAMs10	¹ŋa-la	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
43	1	ORIGTAMs10	¹sja	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
44	1	ORIGTAMs10	²ai-ni	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
45	1	ORIGTAMs10	²kola-kat'-se	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
46	1	ORIGTAMs10	¹ca-o	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
47	1	ORIGTAMs10	³pi-cim-ro	NA	57.9595	62.3338	¹ŋa-la ¹sja, ²ai-ni ²kola-kat'-se ¹ca-o, ³pi-cim-ro	ma chair, vous autres enfants, mangez-la, dit-elle
48	1	ORIGTAMs11	³pi-ma	NA	62.3338	68.6379	³pi-ma, ³oca ¹ama ¹si-si ¹ni-ci	avec ces paroles, la mère mourut
49	1	ORIGTAMs11	³oca	NA	62.3338	68.6379	³pi-ma, ³oca ¹ama ¹si-si ¹ni-ci	avec ces paroles, la mère mourut
50	1	ORIGTAMs11	¹ama	NA	62.3338	68.6379	³pi-ma, ³oca ¹ama ¹si-si ¹ni-ci	avec ces paroles, la mère mourut
51	1	ORIGTAMs11	¹si-si	NA	62.3338	68.6379	³pi-ma, ³oca ¹ama ¹si-si ¹ni-ci	avec ces paroles, la mère mourut
52	1	ORIGTAMs11	¹ni-ci	NA	62.3338	68.6379	³pi-ma, ³oca ¹ama ¹si-si ¹ni-ci	avec ces paroles, la mère mourut
53	1	ORIGTAMs12	³ca	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
54	1	ORIGTAMs12	²som-se	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
55	1	ORIGTAMs12	¹am-ta	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
56	1	ORIGTAMs12	¹phral-si	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
57	1	ORIGTAMs12	²tha:-si	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
58	1	ORIGTAMs12	¹am-ta	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
59	1	ORIGTAMs12	¹phral-si	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
60	1	ORIGTAMs12	²tha:-si	NA	68.6379	76.7915	³ca ²som-se, ¹am-ta ¹phral-si, ²tha:-si, ¹am-ta ¹phral-si, ²tha:-si,	les trois fils dépecèrent leur mère, la découpèrent (bis)
61	1	ORIGTAMs13	³ca	NA	76.7915	79.3255	³ca ¹thepa (aaa)	le fils aîné (euh)
62	1	ORIGTAMs13	¹thepa	NA	76.7915	79.3255	³ca ¹thepa (aaa)	le fils aîné (euh)
63	1	ORIGTAMs13	(aaa)	NA	76.7915	79.3255	³ca ¹thepa (aaa)	le fils aîné (euh)
64	1	ORIGTAMs14	¹thepa	NA	79.3255	82.6838	¹thepa ²paraŋ-ca ²tha:-ci, 	l'aîné et le second découpèrent, 
65	1	ORIGTAMs14	²paraŋ-ca	NA	79.3255	82.6838	¹thepa ²paraŋ-ca ²tha:-ci, 	l'aîné et le second découpèrent, 
66	1	ORIGTAMs14	²tha:-ci	NA	79.3255	82.6838	¹thepa ²paraŋ-ca ²tha:-ci, 	l'aîné et le second découpèrent, 
